id_project,name,top,score,year,week,created_at
15951,BitTorrent,General,68.65,2024,4,2024-01-29 10:15:40
1087,Kava,General,68.42,2024,4,2024-01-29 10:12:16
2391,Klaytn,General,67.88,2024,4,2024-01-29 10:12:34
986,Monero,General,66.99,2024,4,2024-01-29 10:12:13
996,Maker,General,66.70,2024,4,2024-01-29 10:12:13
15335,Moonbeam,General,66.60,2024,4,2024-01-29 10:15:31
907,Decentraland,General,66.39,2024,4,2024-01-29 10:12:12
1011,Theta Network,General,66.25,2024,4,2024-01-29 10:12:14
1014,Enjin Coin,General,66.23,2024,4,2024-01-29 10:12:14
1005,Synthetix Network Token,General,66.10,2024,4,2024-01-29 10:12:14
10410,Moonriver,General,65.85,2024,4,2024-01-29 10:14:11
659,ChainLink,General,65.78,2024,4,2024-01-29 10:12:09
6641,1inch,General,65.60,2024,4,2024-01-29 10:13:23
7102,Flow - Dapper Labs,General,65.52,2024,4,2024-01-29 10:13:28
1118,VeThor Token,General,65.35,2024,4,2024-01-29 10:12:17
985,Tezos,General,65.15,2024,4,2024-01-29 10:12:13
1032,Zilliqa,General,65.09,2024,4,2024-01-29 10:12:15
995,Ontology,General,65.05,2024,4,2024-01-29 10:12:13
1081,Harmony,General,64.88,2024,4,2024-01-29 10:12:16
1006,Waves,General,64.40,2024,4,2024-01-29 10:12:14
1007,Nervos Network,General,64.03,2024,4,2024-01-29 10:12:14
7333,Quickswap,General,64.01,2024,4,2024-01-29 10:13:30
5900,Near,General,63.99,2024,4,2024-01-29 10:13:13
1094,Fetch.ai,General,63.96,2024,4,2024-01-29 10:12:17
15733,Acala,General,63.52,2024,4,2024-01-29 10:15:37
5674,PancakeSwap,General,63.37,2024,4,2024-01-29 10:13:11
1210,Matrix AI Network,General,63.34,2024,4,2024-01-29 10:12:19
5572,Crust Network,General,63.10,2024,4,2024-01-29 10:13:10
4708,SAND,General,63.01,2024,4,2024-01-29 10:13:00
998,Dogecoin,General,62.93,2024,4,2024-01-29 10:12:14
4406,DeFiChain,General,62.75,2024,4,2024-01-29 10:12:57
18408,Kaspa,General,62.69,2024,4,2024-01-29 10:16:25
